"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 13 15:12:49 GMT 2022","Tue Sep 13 15:13:01 GMT 2022","11492","","Funcionalidade: Ver perfis","","","","Deve vlaidar o terceiro item da lista",""
"passed","Tue Sep 13 15:12:45 GMT 2022","Tue Sep 13 15:12:47 GMT 2022","2873","","Funcionalidade: Ver perfis","","","","Deve validar o primeiro item da lista ",""
"passed","Tue Sep 13 15:12:48 GMT 2022","Tue Sep 13 15:12:49 GMT 2022","1840","","Funcionalidade: Ver perfis","","","","Deve vlaidar o ultimo item da lista",""
